,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Category,Age Index,EnvironmentSatisfaction_Category,WorkLifeBalance_Category,JobInvolvement_Category
53,35,No,Non-Travel,1097,Research & Development,11,Medical,3,Male,79,2,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,Bachelor,Millenials 24-38 Y,High,High,Good
54,26,No,Travel_Rarely,1443,Sales,23,Marketing,3,Female,47,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,Bachelor,Millenials 24-38 Y,High,Medium,Good
55,33,No,Travel_Frequently,515,Research & Development,1,Life Sciences,1,Female,98,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,Bachelor,Millenials 24-38 Y,Low,High,Better
56,35,No,Travel_Frequently,853,Sales,18,Life Sciences,2,Male,71,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,Doctor,Millenials 24-38 Y,Medium,Medium,Better
57,35,No,Travel_Rarely,1142,Research & Development,23,Medical,3,Female,30,3,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,Master,Millenials 24-38 Y,High,High,Better
58,31,No,Travel_Rarely,655,Research & Development,7,Life Sciences,4,Male,48,3,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,Master,Millenials 24-38 Y,Very High,Medium,Better
59,37,No,Travel_Rarely,1115,Research & Development,1,Life Sciences,1,Male,51,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,Master,Millenials 24-38 Y,Low,Best,Good
60,32,No,Travel_Rarely,427,Research & Development,1,Medical,1,Male,33,3,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,Bachelor,Millenials 24-38 Y,Low,High,Better
61,38,No,Travel_Frequently,653,Research & Development,29,Life Sciences,4,Female,50,3,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,Doctor,Millenials 24-38 Y,Very High,High,Better
62,50,No,Travel_Rarely,989,Research & Development,7,Medical,2,Female,43,2,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,Bachelor,Gen X 39-54 Y,Medium,Medium,Good
63,59,No,Travel_Rarely,1435,Sales,25,Life Sciences,1,Female,99,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,Bachelor,Gen Boomers >= 55 Y,Low,Medium,Better
64,36,No,Travel_Rarely,1223,Research & Development,8,Technical Degree,3,Female,59,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,Bachelor,Millenials 24-38 Y,High,High,Better
65,55,No,Travel_Rarely,836,Research & Development,8,Medical,4,Female,33,3,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Bachelor,Gen Boomers >= 55 Y,Very High,High,Better
66,36,No,Travel_Frequently,1195,Research & Development,11,Life Sciences,2,Male,95,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,Bachelor,Millenials 24-38 Y,Medium,High,Good
67,45,No,Travel_Rarely,1339,Research & Development,7,Life Sciences,2,Male,59,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,Bachelor,Gen X 39-54 Y,Medium,High,Better
68,35,No,Travel_Frequently,664,Research & Development,1,Medical,2,Male,79,3,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,Bachelor,Millenials 24-38 Y,Medium,Medium,Better
69,36,Yes,Travel_Rarely,318,Research & Development,9,Medical,4,Male,79,2,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Bachelor,Millenials 24-38 Y,Very High,Medium,Good
70,59,No,Travel_Frequently,1225,Sales,1,Life Sciences,1,Female,57,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,Bachelor,Gen Boomers >= 55 Y,Low,Medium,Good
71,29,No,Travel_Rarely,1328,Research & Development,2,Life Sciences,3,Male,76,3,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,Bachelor,Millenials 24-38 Y,High,High,Better
72,31,No,Travel_Rarely,1082,Research & Development,1,Medical,3,Male,87,3,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,Master,Millenials 24-38 Y,High,High,Better
73,32,No,Travel_Rarely,548,Research & Development,1,Life Sciences,2,Male,66,3,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,Bachelor,Millenials 24-38 Y,Medium,High,Better
74,36,No,Travel_Rarely,132,Research & Development,6,Life Sciences,2,Female,55,4,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,Bachelor,Millenials 24-38 Y,Medium,High,Very High
75,31,No,Travel_Rarely,746,Research & Development,8,Life Sciences,3,Female,61,3,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,Master,Millenials 24-38 Y,High,High,Better
76,35,No,Travel_Rarely,776,Sales,1,Marketing,3,Male,32,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,Master,Millenials 24-38 Y,High,High,Good
77,45,No,Travel_Rarely,193,Research & Development,6,Other,4,Male,52,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,Master,Gen X 39-54 Y,Very High,Best,Better
78,37,No,Travel_Rarely,397,Research & Development,7,Medical,1,Male,30,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,Master,Millenials 24-38 Y,Low,Best,Better
79,46,No,Travel_Rarely,945,Human Resources,5,Medical,2,Male,80,3,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,Bachelor,Gen X 39-54 Y,Medium,High,Better
80,30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,4,Male,55,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,Bachelor,Millenials 24-38 Y,Very High,Medium,Good
81,35,No,Travel_Rarely,1214,Research & Development,1,Medical,2,Male,30,2,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,Bachelor,Millenials 24-38 Y,Medium,High,Good
82,55,No,Travel_Rarely,111,Sales,1,Life Sciences,1,Male,70,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,Bachelor,Gen Boomers >= 55 Y,Low,High,Better
83,38,No,Non-Travel,573,Research & Development,6,Medical,2,Female,79,1,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,Bachelor,Millenials 24-38 Y,Medium,High,Bad
84,34,No,Travel_Rarely,1153,Research & Development,1,Medical,1,Male,94,3,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,Bachelor,Millenials 24-38 Y,Low,High,Better
85,56,No,Travel_Rarely,1400,Research & Development,7,Life Sciences,4,Male,49,1,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,Bachelor,Gen Boomers >= 55 Y,Very High,Medium,Bad
86,23,No,Travel_Rarely,541,Sales,2,Technical Degree,3,Male,62,3,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,Bachelor,Gen Z 18 - 23 Y,High,High,Better
87,51,No,Travel_Rarely,432,Research & Development,9,Life Sciences,4,Male,96,3,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,Master,Gen X 39-54 Y,Very High,High,Better
88,30,No,Travel_Rarely,288,Research & Development,2,Life Sciences,3,Male,99,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,Bachelor,Millenials 24-38 Y,High,High,Good
89,46,Yes,Travel_Rarely,669,Sales,9,Medical,3,Male,64,2,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,Bachelor,Gen X 39-54 Y,High,High,Good
90,40,No,Travel_Frequently,530,Research & Development,1,Life Sciences,3,Male,78,2,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,Master,Gen X 39-54 Y,High,Medium,Good
91,51,No,Travel_Rarely,632,Sales,21,Marketing,3,Male,71,3,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,Master,Gen X 39-54 Y,High,Low,Better
92,30,No,Travel_Rarely,1334,Sales,4,Medical,3,Female,63,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,Bachelor,Millenials 24-38 Y,High,Medium,Good
93,46,No,Travel_Frequently,638,Research & Development,1,Medical,3,Male,40,2,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,Bachelor,Gen X 39-54 Y,High,Medium,Good
94,32,No,Travel_Rarely,1093,Sales,6,Medical,2,Male,87,3,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,Master,Millenials 24-38 Y,Medium,High,Better
95,54,No,Travel_Rarely,1217,Research & Development,2,Technical Degree,1,Female,60,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,Master,Gen X 39-54 Y,Low,Low,Better
96,24,No,Travel_Rarely,1353,Sales,3,Other,1,Female,33,3,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,Bachelor,Millenials 24-38 Y,Low,Medium,Better
97,28,No,Non-Travel,120,Sales,4,Medical,2,Male,43,3,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,Bachelor,Millenials 24-38 Y,Medium,Best,Better
98,58,No,Travel_Rarely,682,Sales,10,Medical,4,Male,37,3,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,Master,Gen Boomers >= 55 Y,Very High,Medium,Better
99,44,No,Non-Travel,489,Research & Development,23,Medical,2,Male,67,3,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,Bachelor,Gen X 39-54 Y,Medium,Best,Better
100,37,Yes,Travel_Rarely,807,Human Resources,6,Human Resources,3,Male,63,3,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,Master,Millenials 24-38 Y,High,High,Better
101,32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,4,Male,71,3,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,Bachelor,Millenials 24-38 Y,Very High,High,Better
102,20,Yes,Travel_Frequently,871,Research & Development,6,Life Sciences,4,Female,66,2,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0,Bachelor,Gen Z 18 - 23 Y,Very High,High,Good
103,34,No,Travel_Rarely,665,Research & Development,6,Other,1,Female,41,3,Research Scientist,3,Single,4809,12482,1,No,14,3,3,0,16,3,3,16,13,2,10,Master,Millenials 24-38 Y,Low,High,Better
104,37,No,Non-Travel,1040,Research & Development,2,Life Sciences,3,Male,100,2,Healthcare Representative,4,Divorced,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0,Bachelor,Millenials 24-38 Y,High,Best,Good
105,59,No,Non-Travel,1420,Human Resources,2,Human Resources,3,Female,32,2,Manager,4,Married,18844,21922,9,No,21,4,4,1,30,3,3,3,2,2,2,Master,Gen Boomers >= 55 Y,High,High,Good
106,50,No,Travel_Frequently,1115,Research & Development,1,Life Sciences,1,Female,73,3,Research Director,2,Married,18172,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7,Bachelor,Gen X 39-54 Y,Low,Medium,Better
107,25,Yes,Travel_Rarely,240,Sales,5,Marketing,3,Male,46,2,Sales Executive,3,Single,5744,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3,Bachelor,Millenials 24-38 Y,High,High,Good
108,25,No,Travel_Rarely,1280,Research & Development,7,Medical,4,Male,64,2,Research Scientist,4,Married,2889,26897,1,No,11,3,3,2,2,2,3,2,2,2,1,Bachelor,Millenials 24-38 Y,Very High,High,Good
109,22,No,Travel_Rarely,534,Research & Development,15,Medical,2,Female,59,3,Laboratory Technician,4,Single,2871,23785,1,No,15,3,3,0,1,5,3,0,0,0,0,Bachelor,Gen Z 18 - 23 Y,Medium,High,Better
110,51,No,Travel_Frequently,1456,Research & Development,1,Medical,1,Female,30,2,Healthcare Representative,1,Single,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8,Master,Gen X 39-54 Y,Low,Medium,Good
111,34,Yes,Travel_Frequently,658,Research & Development,7,Life Sciences,1,Male,66,1,Laboratory Technician,3,Single,6074,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6,Bachelor,Millenials 24-38 Y,Low,High,Bad
112,54,No,Non-Travel,142,Human Resources,26,Human Resources,4,Female,30,4,Manager,4,Single,17328,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4,Bachelor,Gen X 39-54 Y,Very High,High,Very High
113,24,No,Travel_Rarely,1127,Research & Development,18,Life Sciences,2,Male,52,3,Laboratory Technician,3,Married,2774,13257,0,No,12,3,3,1,6,2,3,5,3,1,2,Bachelor,Millenials 24-38 Y,Medium,High,Better
114,34,No,Travel_Rarely,1031,Research & Development,6,Life Sciences,3,Female,45,2,Research Scientist,2,Divorced,4505,15000,6,No,15,3,3,1,12,3,3,1,0,0,0,Master,Millenials 24-38 Y,High,High,Good
115,37,No,Travel_Rarely,1189,Sales,3,Life Sciences,3,Male,87,3,Sales Executive,4,Single,7428,14506,2,No,12,3,1,0,12,3,3,5,3,1,3,Bachelor,Millenials 24-38 Y,High,High,Better
116,34,No,Travel_Rarely,1354,Research & Development,5,Medical,3,Female,45,2,Manager,1,Single,11631,5615,2,No,12,3,4,0,14,6,3,11,10,5,8,Bachelor,Millenials 24-38 Y,High,High,Good
117,36,No,Travel_Frequently,1467,Sales,11,Technical Degree,2,Female,92,3,Sales Executive,4,Married,9738,22952,0,No,14,3,3,1,10,6,3,9,7,2,8,Bachelor,Millenials 24-38 Y,Medium,High,Better
118,36,No,Travel_Rarely,922,Research & Development,3,Life Sciences,1,Female,39,3,Laboratory Technician,4,Divorced,2835,2561,5,No,22,4,1,1,7,2,3,1,0,0,0,Bachelor,Millenials 24-38 Y,Low,High,Better
119,43,No,Travel_Frequently,394,Sales,26,Life Sciences,3,Male,92,3,Manager,4,Married,16959,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12,Bachelor,Gen X 39-54 Y,High,Best,Better
